2021.2.26	31,128 	6,718 	0 	22,796 	1,617 	2,839 	1,520 	25 	5,468 	3,556 	0 	0 	0 
2021.2.27	32,738 	6,831 	0 	23,934 	1,627 	3,259 	1,558 	27 	5,518 	3,619 	0 	0 	0 
2021.2.28	33,676 	6,895 	0 	24,519 	1,629 	3,592 	1,591 	27 	5,538 	3,648 	0 	0 	0 
2021.3.1	35,430 	7,022 	0 	25,772 	1,678 	3,985 	1,631 	30 	5,643 	3,683 	0 	0 	0 
2021.3.2	102,139 	7,168 	0 	91,633 	1,712 	4,736 	1,675 	32 	5,738 	3,749 	0 	0 	0 
2021.3.3	171,832 	7,351 	0 	159,922 	1,737 	6,076 	1,730 	36 	5,798 	3,848 	0 	0 	0 
2021.3.4	242,490 	7,722 	0 	229,168 	1,763 	7,387 	1,789 	41 	5,894 	4,129 	0 	0 	0 
2021.3.5	313,401 	7,974 	0 	298,311 	1,812 	8,910 	1,845 	46 	6,134 	4,271 	0 	0 	0 
2021.3.6	331,653 	8,054 	0 	316,378 	1,824 	9,025 	1,871 	58 	6,192 	4,301 	0 	0 	0 
2021.3.7	333,891 	8,105 	0 	318,491 	1,832 	9,105 	1,892 	68 	6,227 	4,313 	0 	0 	0 
2021.3.8	401,783 	8,256 	0 	384,834 	1,874 	10,432 	1,927 	83 	6,434 	4,372 	0 	0 	0 
2021.3.9	465,726 	8,496 	0 	446,201 	1,938 	12,747 	1,975 	94 	6,684 	4,489 	0 	0 	0 
2021.3.10	520,349 	8,880 	0 	495,376 	1,969 	17,858 	2,027 	332 	6,783 	4,552 	0 	0 	0 
2021.3.11	565,379 	9,334 	0 	532,794 	2,020 	25,177 	2,100 	517 	6,891 	4,697 	0 	0 	0 
2021.3.12	604,090 	9,690 	0 	564,714 	2,066 	31,630 	2,164 	702 	7,044 	4,758 	0 	0 	0 
2021.3.13	608,227 	9,809 	0 	568,094 	2,081 	32,297 	2,197 	739 	7,097 	4,792 	0 	0 	0 
2021.3.14	609,640 	9,877 	0 	569,281 	2,088 	32,460 	2,209 	770 	7,129 	4,810 	0 	0 	0 
2021.3.15	623,339 	10,871 	0 	581,268 	2,145 	33,237 	2,263 	1,617 	7,217 	4,846 	0 	0 	0 
2021.3.16	643,241 	11,700 	0 	593,563 	2,195 	40,080 	2,339 	2,253 	7,345 	4,913 	0 	0 	0 
2021.3.17	664,100 	12,413 	0 	603,499 	2,224 	50,292 	2,421 	2,812 	7,497 	4,956 	0 	0 	0 
2021.3.18	684,268 	13,028 	0 	613,944 	2,267 	59,529 	2,515 	3,142 	7,653 	5,104 	0 	0 	0 
2021.3.19	702,141 	13,738 	0 	624,735 	2,335 	65,949 	2,601 	3,645 	7,812 	5,157 	0 	0 	0 
2021.3.20	703,735 	14,177 	0 	625,059 	2,353 	67,107 	2,989 	3,658 	7,911 	5,177 	0 	0 	0 
2021.3.21	704,086 	14,543 	0 	625,172 	2,363 	67,280 	3,319 	3,674 	7,960 	5,187 	0 	0 	0 
2021.3.22	708,376 	15,094 	0 	628,953 	2,414 	67,554 	3,693 	3,784 	8,085 	5,203 	0 	0 	0 
2021.3.23	730,840 	16,119 	0 	650,859 	2,488 	67,794 	4,413 	3,965 	8,222 	5,253 	0 	0 	0 
2021.3.24	762,051 	17,529 	0 	681,543 	2,546 	68,099 	5,720 	3,984 	8,425 	5,279 	0 	0 	0 
2021.3.25	797,497 	19,180 	0 	716,161 	2,626 	68,431 	6,996 	4,240 	8,665 	5,318 	0 	0 	0 
2021.3.26	823,282 	21,024 	0 	741,145 	2,669 	68,805 	8,513 	4,478 	8,854 	5,364 	0 	0 	0 
2021.3.27	825,146 	21,213 	0 	742,616 	2,693 	69,049 	8,616 	4,495 	8,986 	5,409 	0 	0 	0 
